delegacia,ano,numero,nAutor,nAutorAcaoFugir,nAutorAcaoAbordagem,nQtdeAutor,nAutorArma,nAutorAcaoCoação,nAutorSubtrair,nAutorAcaoAgressao,N° de Similares,data do teste
30436,2017,1831,NOK,NP,NOK,NP,NOK,OK,OK,NP,NOK,0,2019-04-12
30500,2017,56,OK,NOK,NOK,NOK,NOK,OK,OK,NP,NOK,186,2019-04-12
40285,2017,25,OK,OK,NOK,NOK,NP,OK,OK,NP,NOK,147,2019-04-12
70017,2017,281,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,246,2019-04-12
70901,2017,1115,OK,OK,OK,OK,NP,OK,OK,NP,NOK,9,2019-04-12
10248,2016,2031,OK,OK,OK,OK,NP,OK,OK,NP,NOK,422,2019-04-12
10341,2016,1115,OK,NP,NOK,NP,NP,OK,OK,OK,NOK,81,2019-04-12
10375,2016,1174,OK,OK,NOK,OK,OK,OK,OK,NP,NOK,97,2019-04-12
120607,2016,11757,OK,OK,NOK,OK,NP,OK,OK,NP,NOK,132,2019-04-12
30435,2016,1562,OK,OK,OK,OK,OK,OK,OK,NP,NOK,164,2019-04-12
30616,2016,2624,OK,NOK,NOK,NP,NOK,OK,OK,NP,NOK,619,2019-04-12
10004,2015,536,OK,OK,NOK,OK,OK,OK,OK,NP,NOK,2,2019-04-12
10004,2015,1117,OK,NP,NOK,NOK,NP,OK,OK,OK,NOK,27,2019-04-12
10101,2015,2676,OK,NOK,NOK,OK,NOK,OK,OK,NP,OK,389,2019-04-12
10102,2015,1626,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,197,2019-04-12
100414,2015,993,OK,NOK,NOK,NP,NP,OK,OK,OK,NOK,2,2019-04-12
100919,2015,12279,OK,NP,NOK,OK,OK,OK,OK,NP,NOK,110,2019-04-12
10247,2015,5896,OK,NOK,OK,NP,NOK,OK,OK,NP,NOK,430,2019-04-12
10333,2015,1045,OK,NP,NOK,NOK,NOK,NOK,OK,NP,NP,987,2019-04-12
10336,2015,3559,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,692,2019-04-12
20250,2015,91,OK,OK,OK,OK,NOK,NOK,OK,NP,NOK,301,2019-04-12
70014,2015,8619,OK,NP,NOK,NOK,NP,OK,OK,OK,NOK,34,2019-04-12
10004,2013,107,OK,NP,NOK,NP,OK,NOK,OK,NOK,NP,38,2019-04-12
10007,2013,149,OK,OK,NOK,OK,OK,NP,OK,NOK,NP,22,2019-04-12
10102,2013,2621,OK,NP,OK,OK,NP,OK,OK,NOK,NOK,88,2019-04-12
20139,2013,3234,OK,NP,OK,NP,OK,OK,OK,NP,NOK,30,2019-04-12
30202,2013,3023,OK,NP,OK,OK,NP,OK,OK,NOK,NOK,323,2019-04-12
30308,2013,2405,OK,NOK,NOK,NP,NOK,NOK,OK,NOK,NP,31,2019-04-12
30406,2013,5373,OK,NP,NOK,NP,NP,OK,OK,NP,NOK,193,2019-04-12
10247,2012,6175,OK,NP,NOK,NP,NP,OK,OK,NP,NOK,443,2019-04-12
20138,2012,2274,NP,NP,NP,NP,OK,NP,NP,OK,NP,0,2019-04-12
20232,2012,2153,OK,NP,OK,OK,OK,NP,OK,OK,NP,176,2019-04-12
20250,2012,9724,OK,OK,NP,NOK,NOK,NP,OK,OK,NP,103,2019-04-12
30124,2012,410,OK,OK,NP,OK,OK,OK,OK,NP,NOK,49,2019-04-12
30427,2012,3897,OK,OK,OK,OK,NOK,OK,OK,NP,NOK,36,2019-04-12
70920,2012,992,OK,NP,NOK,OK,NP,OK,OK,OK,NOK,68,2019-04-12
10102,2011,1218,OK,NP,NOK,OK,NOK,NP,OK,OK,NP,1246,2019-04-12
10101,2011,6456,OK,NP,NOK,NOK,NP,OK,OK,OK,NOK,15,2019-04-12
10328,2011,1529,OK,NP,OK,NP,NP,OK,OK,NP,NOK,2,2019-04-12
10333,2011,5718,OK,NOK,NOK,NOK,NOK,OK,OK,NP,OK,4,2019-04-12
10341,2011,2920,OK,NP,NP,OK,NOK,NP,OK,NOK,NOK,51,2019-04-12
10374,2011,2821,OK,NP,NOK,OK,NOK,NP,OK,NP,NP,446,2019-04-12
130312,2011,3861,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,278,2019-04-12
130312,2011,5086,OK,NP,OK,OK,NOK,OK,OK,OK,NOK,10,2019-04-12
130324,2011,21,OK,NOK,NOK,NOK,OK,OK,OK,NOK,NOK,29,2019-04-12
20301,2011,1489,OK,OK,NOK,OK,NOK,OK,OK,NP,NOK,58,2019-04-12
30427,2011,10759,OK,OK,NOK,NOK,NOK,OK,OK,NP,NOK,308,2019-04-12
70301,2011,7118,OK,NP,OK,OK,NOK,OK,OK,NP,NOK,830,2019-04-12
10356,2019,2,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,4,2019-04-12
30102,2014,5090,OK,OK,OK,OK,NOK,OK,OK,NP,NOK,308,2019-04-12
30124,2014,6617,OK,NP,OK,NP,NP,OK,OK,NP,NOK,564,2019-04-12
30411,2011,633,OK,OK,NOK,OK,OK,NOK,OK,OK,NP,12,2019-04-12
10335,2013,11946,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,7,2019-04-12
30103,2013,7437,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,5,2019-04-12
10369,2011,4064,OK,OK,NOK,OK,OK,NOK,OK,OK,NP,3,2019-04-12
10335,2013,8100,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,9,2019-04-12
10335,2014,118,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,6,2019-04-12
30401,2014,5326,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,2,2019-04-12
20232,2015,5122,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,8,2019-04-12
10335,2015,890,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,7,2019-04-12
20224,2015,2368,OK,OK,NOK,OK,OK,NOK,OK,OK,NP,10,2019-04-12
20224,2015,7875,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,1,2019-04-12
10326,2015,12155,OK,OK,NOK,OK,OK,NOK,OK,OK,NP,5,2019-04-12
10326,2015,8391,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,5,2019-04-12
30206,2015,543,OK,OK,OK,OK,OK,NOK,OK,OK,NP,4,2019-04-12
20301,2016,885,OK,OK,NP,OK,OK,NOK,OK,OK,NOK,36,2019-04-12
30217,2015,5665,OK,OK,NP,OK,OK,NOK,OK,OK,NP,1,2019-04-12
90626,2016,483,OK,OK,OK,OK,OK,NOK,OK,OK,NP,1,2019-04-12
10335,2016,5818,OK,OK,OK,OK,OK,NOK,OK,OK,NP,11,2019-04-12
30304,2016,5773,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,4,2019-04-12
10335,2017,6422,OK,OK,OK,OK,OK,NOK,OK,OK,NP,9,2019-04-12
10211,2017,8369,OK,OK,OK,OK,OK,NOK,OK,OK,NP,2,2019-04-12
30308,2017,3312,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,5,2019-04-12
10361,2017,1446,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,3,2019-04-12
30102,2017,5509,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,2,2019-04-12
10335,2017,3998,OK,OK,OK,OK,OK,NOK,OK,OK,NP,8,2019-04-12
10335,2017,3545,OK,OK,OK,OK,NOK,NOK,OK,OK,NP,14,2019-04-12
10335,2017,9401,OK,OK,OK,OK,OK,NOK,OK,OK,NP,8,2019-04-12
10335,2018,4423,OK,OK,OK,OK,OK,NOK,OK,OK,NP,1,2019-04-12
